entry_bar,exit_bar,side,entry_price,exit_price,pnl,r_multiple,confluence,exit_reason
114,140,short,98.47,85.7,12.77,2.33,0.8,signal_reversal
140,219,long,85.7,118.24,32.54,2.92,1.0,signal_reversal
219,237,short,118.24,106.66,11.58,1.49,1.0,signal_reversal
237,303,long,106.66,108.71,2.05,0.4,0.6,signal_reversal
303,342,short,108.71,95.51,13.21,2.33,0.67,signal_reversal
342,422,long,95.51,125.3,29.79,3.11,1.0,signal_reversal
422,488,short,125.3,106.13,19.17,1.52,1.0,signal_reversal
488,504,long,106.13,114.51,8.38,1.23,1.0,signal_reversal
504,538,short,114.51,95.08,19.43,2.94,0.67,signal_reversal
538,616,long,95.08,124.53,29.45,2.43,1.0,signal_reversal
616,683,short,124.53,107.92,16.61,1.45,1.0,signal_reversal
683,700,long,107.92,114.95,7.03,1.31,0.83,signal_reversal
700,739,short,114.95,98.82,16.13,2.8,0.5,signal_reversal
739,820,long,98.82,128.31,29.49,2.81,1.0,signal_reversal
820,838,short,128.31,118.56,9.75,1.26,1.0,signal_reversal
838,904,long,118.56,126.11,7.54,1.27,0.5,signal_reversal
904,941,short,126.11,112.01,14.09,2.02,1.0,signal_reversal
941,999,long,112.01,135.98,23.96,3.15,0.83,end_of_data
